host;ip;port;lastseen;delay;cid;country_code;country_name;city;checks_up;checks_down;anon;http;ssl;socks4;socks5
172.67.219.212;172.67.219.212;80;3302;120;6252001;US;United States;;9919;836;1;1;0;0;0
172.64.38.195;172.64.38.195;80;3302;120;6252001;US;United States;;8442;765;1;1;0;0;0
172.67.108.82;172.67.108.82;80;3302;60;6252001;US;United States;;7521;719;1;1;0;0;0
108.162.192.135;108.162.192.135;80;3302;120;6252001;US;United States;;5344;806;1;1;0;0;0
172.64.144.177;172.64.144.177;80;3302;160;6252001;US;United States;;5027;769;1;1;0;0;0
23.227.60.161;23.227.60.161;80;3302;160;5883102;CA;Canada;;4913;760;1;1;0;0;0
172.66.43.61;172.66.43.61;80;3302;160;0;;;;3567;753;1;1;0;0;0
172.67.232.58;172.67.232.58;80;3302;120;0;;;;1654;773;1;1;0;0;0
141.101.113.218;141.101.113.218;80;3302;120;0;;;;132;79;1;1;0;0;0
172.67.182.32;172.67.182.32;80;3415;4600;6252001;US;United States;;21923;860;1;1;0;0;0
172.67.70.173;172.67.70.173;80;3415;3900;6252001;US;United States;;16224;812;1;1;0;0;0
172.67.170.7;172.67.170.7;80;3415;3900;6252001;US;United States;;12195;833;1;1;0;0;0
141.101.122.160;141.101.122.160;80;3415;3900;6255149;;;;10170;743;1;1;0;0;0
66.235.200.26;66.235.200.26;80;3415;4600;6252001;US;United States;;8390;754;1;1;0;0;0
188.114.97.97;188.114.97.97;80;3415;3900;0;;;;2961;764;1;1;0;0;0
173.245.49.231;173.245.49.231;80;3419;140;2988507;FR;France;Paris;8195;775;1;1;0;0;0
172.67.199.88;172.67.199.88;80;3419;160;0;;;;1447;750;1;1;0;0;0
au.api.cloudflare.com;172.65.90.0;80;3428;1040;0;;;;5362;37;1;1;0;0;0
172.67.181.222;172.67.181.222;80;3430;120;6252001;US;United States;;17697;874;1;1;0;0;0
172.67.254.62;172.67.254.62;80;3430;120;6252001;US;United States;;16427;862;1;1;0;0;0
173.245.49.51;173.245.49.51;80;3430;160;2988507;FR;France;Paris;16224;846;1;1;0;0;0
23.227.38.162;23.227.38.162;80;3430;140;6251999;CA;Canada;;13902;862;1;1;0;0;0
23.227.38.133;23.227.38.133;80;3430;120;6251999;CA;Canada;;14052;834;1;1;0;0;0
172.67.185.150;172.67.185.150;80;3430;160;6252001;US;United States;;11659;809;1;1;0;0;0
172.67.141.148;172.67.141.148;80;3430;120;6252001;US;United States;;10783;827;1;1;0;0;0
141.101.123.62;141.101.123.62;80;3430;160;6255149;;;;10146;744;1;1;0;0;0
66.235.200.61;66.235.200.61;80;3430;160;6252001;US;United States;;9542;774;1;1;0;0;0
172.67.79.187;172.67.79.187;80;3430;160;6252001;US;United States;;9009;744;1;1;0;0;0
45.131.5.105;45.131.5.105;80;3430;20;2750405;NL;Netherlands;;8209;838;1;1;0;0;0
66.235.200.66;66.235.200.66;80;3430;160;6252001;US;United States;;8411;759;1;1;0;0;0
173.245.49.229;173.245.49.229;80;3430;160;2988507;FR;France;Paris;8203;787;1;1;0;0;0
172.67.129.231;172.67.129.231;80;3430;160;6252001;US;United States;;6996;769;1;1;0;0;0
172.67.131.57;172.67.131.57;80;3430;140;0;;;;1684;749;1;1;0;0;0
172.67.211.161;172.67.211.161;80;3430;140;0;;;;920;731;1;1;0;0;0
172.67.174.91;172.67.174.91;80;3430;140;0;;;;93;76;1;1;0;0;0
188.114.99.137;188.114.99.137;80;3431;140;2759794;NL;Netherlands;Amsterdam;12129;881;1;1;0;0;0
172.67.148.92;172.67.148.92;80;3431;120;6252001;US;United States;;10963;808;1;1;0;0;0
172.67.190.170;172.67.190.170;80;3431;120;6252001;US;United States;;10747;841;1;1;0;0;0
141.101.113.95;141.101.113.95;80;3431;140;6255149;;;;10937;756;1;1;0;0;0
23.227.39.242;23.227.39.242;80;3431;120;6094817;CA;Canada;Ottawa;9854;757;1;1;0;0;0
66.235.200.121;66.235.200.121;80;3431;120;6252001;US;United States;;8402;764;1;1;0;0;0
173.245.49.201;173.245.49.201;80;3431;120;2988507;FR;France;Paris;8225;760;1;1;0;0;0
108.162.193.54;108.162.193.54;80;3431;140;6252001;US;United States;;5266;785;1;1;0;0;0
108.162.193.160;108.162.193.160;80;3431;140;0;;;;3578;777;1;1;0;0;0
172.67.147.21;172.67.147.21;80;3431;120;0;;;;1645;771;1;1;0;0;0
172.67.207.26;172.67.207.26;80;3431;120;0;;;;1497;756;1;1;0;0;0
172.67.210.181;172.67.210.181;80;3431;140;0;;;;161;127;1;1;0;0;0
190.12.150.244;190.12.150.244;999;3499;4660;3652257;EC;Ecuador;Rosa Zarate;170;107;1;1;0;0;0
172.67.229.38;172.67.229.38;80;3502;4620;6252001;US;United States;;6376;780;1;1;0;0;0
172.67.75.165;172.67.75.165;80;3506;140;6252001;US;United States;;11842;784;1;1;0;0;0
141.101.123.106;141.101.123.106;80;3506;100;6255149;;;;10078;765;1;1;0;0;0
desk.covid19.go.id;188.114.97.1;80;3506;140;0;;;;3208;788;1;1;0;0;0
188.114.99.183;188.114.99.183;80;3506;160;0;;;;3030;751;1;1;0;0;0
141.101.120.204;141.101.120.204;80;3555;4600;6255149;;;;10151;747;1;1;0;0;0
141.101.113.68;141.101.113.68;80;3555;4600;6255149;;;;10180;772;1;1;0;0;0
188.114.96.60;188.114.96.60;80;3555;3920;2759794;NL;Netherlands;Amsterdam;9960;820;1;1;0;0;0
172.67.70.249;172.67.70.249;80;3555;4600;6252001;US;United States;;9006;772;1;1;0;0;0
172.67.181.176;172.67.181.176;80;3559;140;6252001;US;United States;;21863;883;1;1;0;0;0
173.245.49.25;173.245.49.25;80;3559;120;2988507;FR;France;Paris;16969;905;1;1;0;0;0
172.67.166.241;172.67.166.241;80;3559;120;6252001;US;United States;;11946;811;1;1;0;0;0
172.67.188.19;172.67.188.19;80;3559;120;6252001;US;United States;;11532;830;1;1;0;0;0
188.114.96.83;188.114.96.83;80;3559;160;2759794;NL;Netherlands;Amsterdam;9957;825;1;1;0;0;0
173.245.49.171;173.245.49.171;80;3559;180;2988507;FR;France;Paris;8261;784;1;1;0;0;0
63.141.128.148;63.141.128.148;80;3559;20;6252001;US;United States;;7220;842;1;1;0;0;0
23.227.39.67;23.227.39.67;80;3559;120;6094817;CA;Canada;Ottawa;7180;736;1;1;0;0;0
172.67.223.110;172.67.223.110;80;3559;120;6252001;US;United States;;5125;761;1;1;0;0;0
188.114.99.211;188.114.99.211;80;3559;160;0;;;;3050;749;1;1;0;0;0
108.162.198.198;108.162.198.198;80;3559;120;0;;;;159;98;1;1;0;0;0
108.162.193.202;108.162.193.202;80;3559;120;0;;;;148;111;1;1;0;0;0
185.146.173.203;185.146.173.203;80;3559;120;2661886;SE;Sweden;;136;87;1;1;0;0;0
141.101.113.230;141.101.113.230;80;3559;120;0;;;;109;86;1;1;0;0;0
173.245.49.219;173.245.49.219;80;3560;100;2988507;FR;France;Paris;8339;757;1;1;0;0;0
188.114.99.5;188.114.99.5;80;3560;100;0;;;;3030;753;1;1;0;0;0
8.35.211.237;8.35.211.237;80;3560;100;0;;;;96;80;1;1;0;0;0
172.67.192.38;172.67.192.38;80;3570;140;6252001;US;United States;;11607;803;1;1;0;0;0
172.67.176.15;172.67.176.15;80;3652;4020;6252001;US;United States;;14805;863;1;1;0;0;0
141.101.120.17;141.101.120.17;80;3652;4020;6255149;;;;10100;758;1;1;0;0;0
66.235.200.108;66.235.200.108;80;3652;4680;6252001;US;United States;;9422;763;1;1;0;0;0
172.67.70.130;172.67.70.130;80;3652;2740;6252001;US;United States;;8911;760;1;1;0;0;0
172.67.181.60;172.67.181.60;80;3663;4660;6252001;US;United States;;21774;860;1;1;0;0;0
23.227.38.98;23.227.38.98;80;3663;4640;6251999;CA;Canada;;14017;900;1;1;0;0;0
188.114.97.17;188.114.97.17;80;3663;4640;2759794;NL;Netherlands;Amsterdam;11046;816;1;1;0;0;0
172.67.72.223;172.67.72.223;80;3663;4660;6252001;US;United States;;10174;783;1;1;0;0;0
172.67.251.80;172.67.251.80;80;3663;4560;6252001;US;United States;;9776;832;1;1;0;0;0
66.235.200.194;66.235.200.194;80;3663;4660;6252001;US;United States;;9428;788;1;1;0;0;0
23.227.39.95;23.227.39.95;80;3663;4660;6094817;CA;Canada;Ottawa;9082;770;1;1;0;0;0
172.67.70.97;172.67.70.97;80;3663;4540;6252001;US;United States;;8923;772;1;1;0;0;0
190.93.247.247;190.93.247.247;80;3663;4640;3624060;CR;Costa Rica;;8826;755;1;1;0;0;0
173.245.49.143;173.245.49.143;80;3663;4560;2988507;FR;France;Paris;8284;782;1;1;0;0;0
69.84.182.31;69.84.182.31;80;3663;4500;6252001;US;United States;;8025;836;1;1;0;0;0
190.93.245.21;190.93.245.21;80;3663;4660;5392171;US;United States;San Jose;8113;747;1;1;0;0;0
cortney.ns.cloudflare.com;173.245.58.87;80;3663;4520;0;;;;3468;743;1;1;0;0;0
188.114.99.146;188.114.99.146;80;3663;4540;0;;;;3031;755;1;1;0;0;0
cdn.opensignal.com;172.66.43.86;80;3663;4500;0;;;;2939;773;1;1;0;0;0
172.67.197.87;172.67.197.87;80;3663;4520;0;;;;151;115;1;1;0;0;0
108.162.193.125;108.162.193.125;80;3663;4640;0;;;;110;83;1;1;0;0;0
corporate.cakap.com;188.114.97.1;80;3665;2320;6252001;US;United States;;3644;794;1;1;0;0;0
172.67.177.111;172.67.177.111;80;3666;1060;6252001;US;United States;;18842;890;1;1;0;0;0
172.67.182.127;172.67.182.127;80;3667;160;6252001;US;United States;;21701;894;1;1;0;0;0
23.227.38.104;23.227.38.104;80;3667;120;6251999;CA;Canada;;13924;871;1;1;0;0;0
31.43.179.84;31.43.179.84;80;3667;20;1522867;KZ;Kazakstan;;12150;933;1;1;0;0;0
172.67.171.189;172.67.171.189;80;3667;120;6252001;US;United States;;12296;832;1;1;0;0;0
172.67.191.225;172.67.191.225;80;3667;160;6252001;US;United States;;11538;851;1;1;0;0;0
141.101.120.84;141.101.120.84;80;3667;160;6255149;;;;10091;764;1;1;0;0;0
23.227.39.230;23.227.39.230;80;3667;160;6094817;CA;Canada;Ottawa;9485;735;1;1;0;0;0
172.67.224.93;172.67.224.93;80;3667;140;6252001;US;United States;;9101;813;1;1;0;0;0
172.64.84.145;172.64.84.145;80;3667;160;6252001;US;United States;;8352;757;1;1;0;0;0
108.162.192.36;108.162.192.36;80;3667;160;6252001;US;United States;;6745;785;1;1;0;0;0
190.93.247.155;190.93.247.155;80;3667;160;0;;;;2461;750;1;1;0;0;0
172.64.147.206;172.64.147.206;80;3667;160;0;;;;955;748;1;1;0;0;0
141.101.114.241;141.101.114.241;80;3667;140;0;;;;164;130;1;1;0;0;0
141.101.113.48;141.101.113.48;80;3667;140;0;;;;192;110;1;1;0;0;0
172.67.247.82;172.67.247.82;80;3667;140;0;;;;159;117;1;1;0;0;0
108.162.198.70;108.162.198.70;80;3667;160;0;;;;126;76;1;1;0;0;0
172.64.53.21;172.64.53.21;80;3677;1000;0;;;;2696;748;1;1;0;0;0
172.64.32.48;172.64.32.48;80;3677;1020;0;;;;1759;728;1;1;0;0;0
172.67.210.63;172.67.210.63;80;3677;720;0;;;;1424;723;1;1;0;0;0
172.67.181.165;172.67.181.165;80;3678;100;6252001;US;United States;;22094;863;1;1;0;0;0
172.67.176.183;172.67.176.183;80;3678;140;6252001;US;United States;;14053;852;1;1;0;0;0
172.67.177.173;172.67.177.173;80;3678;120;6252001;US;United States;;13939;883;1;1;0;0;0
23.227.38.251;23.227.38.251;80;3678;120;6251999;CA;Canada;;14003;874;1;1;0;0;0
23.227.38.244;23.227.38.244;80;3678;200;6251999;CA;Canada;;14000;853;1;1;0;0;0
23.227.38.174;23.227.38.174;80;3678;160;6251999;CA;Canada;;14020;857;1;1;0;0;0
23.227.38.226;23.227.38.226;80;3678;120;6251999;CA;Canada;;13896;870;1;1;0;0;0
23.227.38.27;23.227.38.27;80;3678;120;6251999;CA;Canada;;13918;874;1;1;0;0;0
172.67.171.217;172.67.171.217;80;3678;100;6252001;US;United States;;12341;824;1;1;0;0;0
172.67.192.35;172.67.192.35;80;3678;140;6252001;US;United States;;11562;837;1;1;0;0;0
188.114.98.83;188.114.98.83;80;3678;120;2759794;NL;Netherlands;Amsterdam;11567;865;1;1;0;0;0
172.66.42.64;172.66.42.64;80;3678;120;6252001;US;United States;;10519;762;1;1;0;0;0
141.101.120.89;141.101.120.89;80;3678;120;6255149;;;;10124;749;1;1;0;0;0
141.101.122.221;141.101.122.221;80;3678;100;6255149;;;;10066;752;1;1;0;0;0
141.101.123.38;141.101.123.38;80;3678;100;6255149;;;;10096;747;1;1;0;0;0
188.114.96.94;188.114.96.94;80;3678;200;2759794;NL;Netherlands;Amsterdam;9921;816;1;1;0;0;0
23.227.39.235;23.227.39.235;80;3678;140;6251999;CA;Canada;;10063;755;1;1;0;0;0
172.64.149.69;172.64.149.69;80;3678;160;6252001;US;United States;;9309;756;1;1;0;0;0
172.67.216.206;172.67.216.206;80;3678;100;6252001;US;United States;;8812;815;1;1;0;0;0
172.67.70.223;172.67.70.223;80;3678;160;6252001;US;United States;;8978;744;1;1;0;0;0
172.67.204.150;172.67.204.150;80;3678;140;6252001;US;United States;;8174;821;1;1;0;0;0
69.84.182.22;69.84.182.22;80;3678;20;6252001;US;United States;;8074;855;1;1;0;0;0
69.84.182.51;69.84.182.51;80;3678;40;6252001;US;United States;;8018;858;1;1;0;0;0
108.162.196.118;108.162.196.118;80;3678;100;6252001;US;United States;;6783;769;1;1;0;0;0
172.67.68.168;172.67.68.168;80;3678;120;6252001;US;United States;;5473;700;1;1;0;0;0
172.64.145.201;172.64.145.201;80;3678;120;5391959;US;United States;San Francisco;4483;748;1;1;0;0;0
172.66.40.84;172.66.40.84;80;3678;160;6252001;US;United States;;4115;767;1;1;0;0;0
172.64.151.168;172.64.151.168;80;3678;140;5391959;US;United States;San Francisco;4074;752;1;1;0;0;0
172.67.193.120;172.67.193.120;80;3678;100;0;;;;1503;729;1;1;0;0;0
172.67.141.109;172.67.141.109;80;3678;140;0;;;;1428;744;1;1;0;0;0
23.227.60.178;23.227.60.178;80;3678;140;6251999;CA;Canada;;208;148;1;1;0;0;0
108.162.194.10;108.162.194.10;80;3678;100;0;;;;151;101;1;1;0;0;0
23.227.60.139;23.227.60.139;80;3678;120;6251999;CA;Canada;;160;105;1;1;0;0;0
141.101.115.0;141.101.115.0;80;3678;120;0;;;;119;95;1;1;0;0;0
141.101.113.185;141.101.113.185;80;3678;160;0;;;;129;94;1;1;0;0;0
141.101.113.12;141.101.113.12;80;3678;120;0;;;;115;72;1;1;0;0;0
185.162.231.151;185.162.231.151;80;3760;4480;174982;AM;Armenia;;13546;991;1;1;0;0;0
172.67.231.154;172.67.231.154;80;3760;4600;0;;;;1674;737;1;1;0;0;0
108.162.198.226;108.162.198.226;80;3760;4600;0;;;;164;101;1;1;0;0;0
141.101.123.215;141.101.123.215;80;3764;180;6255149;;;;16671;832;1;1;0;0;0
172.67.167.98;172.67.167.98;80;3764;100;6252001;US;United States;;14123;855;1;1;0;0;0
172.64.149.77;172.64.149.77;80;3764;80;6252001;US;United States;;9300;786;1;1;0;0;0
172.67.70.165;172.67.70.165;80;3764;160;6252001;US;United States;;9006;758;1;1;0;0;0
188.114.96.228;188.114.96.228;80;3764;160;0;;;;3013;742;1;1;0;0;0
172.67.254.139;172.67.254.139;80;3896;160;6252001;US;United States;;16629;861;1;1;0;0;0
172.67.185.175;172.67.185.175;80;3896;160;6252001;US;United States;;11528;839;1;1;0;0;0
23.227.39.71;23.227.39.71;80;3896;140;6251999;CA;Canada;;10100;772;1;1;0;0;0
45.131.5.125;45.131.5.125;80;3896;20;2750405;NL;Netherlands;;9728;858;1;1;0;0;0
63.141.128.59;63.141.128.59;80;3896;20;6252001;US;United States;;8237;829;1;1;0;0;0
23.227.39.153;23.227.39.153;80;3896;140;6094817;CA;Canada;Ottawa;8219;767;1;1;0;0;0
172.67.252.181;172.67.252.181;80;3896;140;6252001;US;United States;;7687;822;1;1;0;0;0
66.235.200.45;66.235.200.45;80;3896;160;6252001;US;United States;;7110;742;1;1;0;0;0
172.64.154.83;172.64.154.83;80;3896;160;0;;;;3895;766;1;1;0;0;0
188.114.96.140;188.114.96.140;80;3896;160;0;;;;3041;747;1;1;0;0;0
172.67.128.80;172.67.128.80;80;3896;160;0;;;;146;99;1;1;0;0;0
108.162.193.36;108.162.193.36;80;3896;80;0;;;;153;110;1;1;0;0;0
172.66.43.122;172.66.43.122;80;3896;200;0;;;;133;74;1;1;0;0;0
46.245.123.30;46.245.123.30;1080;4149;420;130758;IR;Iran;;19;129;4;0;0;1;0
185.162.229.149;185.162.229.149;80;4161;20;174982;AM;Armenia;;13664;958;1;1;0;0;0
linkerd-devops.cakap.com;188.114.97.1;80;4161;80;6252001;US;United States;;3616;810;1;1;0;0;0
apps.shopify.com;185.146.173.20;80;4161;160;2661886;SE;Sweden;;3811;745;1;1;0;0;0
proxy.serverssh.net;188.114.97.1;80;4161;160;0;;;;3210;782;1;1;0;0;0
172.67.182.2;172.67.182.2;80;4243;4600;6252001;US;United States;;21881;882;1;1;0;0;0
66.235.200.32;66.235.200.32;80;4244;3320;6252001;US;United States;;8365;753;1;1;0;0;0
172.66.43.169;172.66.43.169;80;4244;3880;0;;;;133;96;1;1;0;0;0
172.67.191.226;172.67.191.226;80;4245;2600;6252001;US;United States;;11490;851;1;1;0;0;0
172.67.167.61;172.67.167.61;80;4245;2580;6252001;US;United States;;11585;818;1;1;0;0;0
141.193.213.4;141.193.213.4;80;4245;2480;6252001;US;United States;;11408;888;1;1;0;0;0
172.64.148.199;172.64.148.199;80;4245;2600;6252001;US;United States;;10679;754;1;1;0;0;0
141.101.120.8;141.101.120.8;80;4245;2620;6255149;;;;10107;744;1;1;0;0;0
188.114.96.30;188.114.96.30;80;4245;2600;2759794;NL;Netherlands;Amsterdam;9896;814;1;1;0;0;0
45.131.6.19;45.131.6.19;80;4245;2460;2750405;NL;Netherlands;;9097;822;1;1;0;0;0
172.67.251.205;172.67.251.205;80;4245;2620;6252001;US;United States;;8736;818;1;1;0;0;0
173.245.49.147;173.245.49.147;80;4245;2600;2988507;FR;France;Paris;8257;764;1;1;0;0;0
66.235.200.181;66.235.200.181;80;4245;3300;6252001;US;United States;;8096;759;1;1;0;0;0
172.67.167.78;172.67.167.78;80;4245;2600;6252001;US;United States;;7870;804;1;1;0;0;0
172.64.86.94;172.64.86.94;80;4245;2700;0;;;;1700;750;1;1;0;0;0
172.67.222.72;172.67.222.72;80;4247;140;0;;;;864;762;1;1;0;0;0
23.227.38.77;23.227.38.77;80;4260;120;6251999;CA;Canada;;13981;877;1;1;0;0;0
172.64.144.2;172.64.144.2;80;4260;140;6252001;US;United States;;11322;770;1;1;0;0;0
172.67.70.47;172.67.70.47;80;4260;120;6252001;US;United States;;8957;745;1;1;0;0;0
141.101.114.161;141.101.114.161;80;4260;160;0;;;;143;97;1;1;0;0;0
45.131.6.143;45.131.6.143;80;4261;20;2750405;NL;Netherlands;;11746;866;1;1;0;0;0
23.227.38.224;23.227.38.224;80;4367;160;6251999;CA;Canada;;13915;886;1;1;0;0;0
141.101.121.33;141.101.121.33;80;4367;140;6255149;;;;10093;745;1;1;0;0;0
www.covid19.go.id;188.114.96.1;80;4367;120;0;;;;3400;784;1;1;0;0;0
173.245.59.60;173.245.59.60;80;4367;160;0;;;;2667;745;1;1;0;0;0
23.227.38.51;23.227.38.51;80;4395;4600;6251999;CA;Canada;;13922;828;1;1;0;0;0
172.67.70.228;172.67.70.228;80;4395;4620;6252001;US;United States;;8993;726;1;1;0;0;0
172.67.181.42;172.67.181.42;80;4396;4520;6252001;US;United States;;21968;879;1;1;0;0;0
23.227.38.216;23.227.38.216;80;4396;3900;6251999;CA;Canada;;13793;915;1;1;0;0;0
172.64.149.41;172.64.149.41;80;4396;3940;6252001;US;United States;;9409;763;1;1;0;0;0
188.114.97.153;188.114.97.153;80;4396;4500;2759794;NL;Netherlands;Amsterdam;8887;780;1;1;0;0;0
45.131.6.195;45.131.6.195;80;4396;3800;2750405;NL;Netherlands;;6887;829;1;1;0;0;0
188.114.99.127;188.114.99.127;80;4398;1660;0;;;;2987;765;1;1;0;0;0
172.67.70.14;172.67.70.14;80;4399;160;6252001;US;United States;;16230;795;1;1;0;0;0
45.12.30.0;45.12.30.0;80;4399;40;798549;RO;Romania;;13610;968;1;1;0;0;0
141.101.123.92;141.101.123.92;80;4399;140;6255149;;;;10106;731;1;1;0;0;0
23.227.39.224;23.227.39.224;80;4399;160;6094817;CA;Canada;Ottawa;9826;761;1;1;0;0;0
23.227.39.93;23.227.39.93;80;4399;140;6094817;CA;Canada;Ottawa;9933;735;1;1;0;0;0
172.67.175.171;172.67.175.171;80;4399;160;6252001;US;United States;;6259;778;1;1;0;0;0
ops.ruangguru.com;188.114.97.1;80;4399;140;2761369;AT;Austria;Vienna;1066;750;1;1;0;0;0
108.162.195.80;108.162.195.80;80;4399;140;0;;;;159;114;1;1;0;0;0
141.101.113.243;141.101.113.243;80;4399;140;0;;;;118;96;1;1;0;0;0
108.162.198.255;108.162.198.255;80;4399;160;0;;;;139;102;1;1;0;0;0
172.67.177.11;172.67.177.11;80;4400;120;6252001;US;United States;;13969;883;1;1;0;0;0
23.227.38.144;23.227.38.144;80;4400;120;6251999;CA;Canada;;13998;866;1;1;0;0;0
172.67.188.21;172.67.188.21;80;4400;120;6252001;US;United States;;11638;841;1;1;0;0;0
141.101.121.96;141.101.121.96;80;4400;140;6255149;;;;10083;731;1;1;0;0;0
172.67.161.219;172.67.161.219;80;4400;140;6252001;US;United States;;5023;770;1;1;0;0;0
188.114.96.80;188.114.96.80;80;4519;100;2759794;NL;Netherlands;Amsterdam;9944;810;1;1;0;0;0
172.67.165.35;172.67.165.35;80;4592;140;6252001;US;United States;;10929;829;1;1;0;0;0
172.67.75.199;172.67.75.199;80;4645;4620;6252001;US;United States;;11847;763;1;1;0;0;0
172.67.70.6;172.67.70.6;80;4649;160;6252001;US;United States;;16198;809;1;1;0;0;0
172.67.171.228;172.67.171.228;80;4649;120;6252001;US;United States;;12320;812;1;1;0;0;0
8.35.211.212;8.35.211.212;80;4649;160;0;;;;99;89;1;1;0;0;0
141.101.123.182;141.101.123.182;80;4656;4500;6255149;;;;10146;707;1;1;0;0;0
172.67.70.21;172.67.70.21;80;4656;4500;6252001;US;United States;;8972;737;1;1;0;0;0
172.67.180.6;172.67.180.6;80;4660;140;6252001;US;United States;;20514;872;1;1;0;0;0
23.227.39.81;23.227.39.81;80;4660;140;6094817;CA;Canada;Ottawa;8254;756;1;1;0;0;0
www.bingovzla.com;188.114.96.1;80;4660;120;0;;;;3374;769;1;1;0;0;0
185.162.230.47;185.162.230.47;80;4671;20;174982;AM;Armenia;;13692;943;1;1;0;0;0
141.101.122.82;141.101.122.82;80;4671;140;6255149;;;;10158;759;1;1;0;0;0
108.162.192.208;108.162.192.208;80;4671;140;0;;;;223;154;1;1;0;0;0
172.67.177.191;172.67.177.191;80;4692;840;6252001;US;United States;;13998;857;1;1;0;0;0
172.67.181.205;172.67.181.205;80;4703;160;6252001;US;United States;;17723;881;1;1;0;0;0
172.67.182.49;172.67.182.49;80;4707;160;6252001;US;United States;;21922;871;1;1;0;0;0
141.101.121.6;141.101.121.6;80;4707;200;6255149;;;;10141;740;1;1;0;0;0
172.67.167.60;172.67.167.60;80;4707;160;6252001;US;United States;;7845;799;1;1;0;0;0
103.21.244.46;103.21.244.46;80;4708;20;4744870;US;United States;Ashburn;10827;770;1;1;0;0;0
23.227.39.195;23.227.39.195;80;4708;220;6094817;CA;Canada;Ottawa;9447;743;1;1;0;0;0
172.67.181.160;172.67.181.160;80;4760;140;6252001;US;United States;;21840;876;1;1;0;0;0
172.67.181.51;172.67.181.51;80;4760;140;6252001;US;United States;;21830;893;1;1;0;0;0
172.67.180.34;172.67.180.34;80;4760;120;6252001;US;United States;;15218;862;1;1;0;0;0
172.67.176.247;172.67.176.247;80;4760;100;6252001;US;United States;;13914;886;1;1;0;0;0
141.101.113.0;141.101.113.0;80;4760;120;6255149;;;;12044;803;1;1;0;0;0
172.67.75.173;172.67.75.173;80;4760;120;6252001;US;United States;;11776;752;1;1;0;0;0
141.101.120.75;141.101.120.75;80;4760;100;6255149;;;;10068;751;1;1;0;0;0
141.101.120.24;141.101.120.24;80;4760;140;6255149;;;;10161;732;1;1;0;0;0
141.101.120.12;141.101.120.12;80;4760;120;6255149;;;;10135;774;1;1;0;0;0
141.101.121.130;141.101.121.130;80;4760;160;6255149;;;;10134;729;1;1;0;0;0
141.101.121.213;141.101.121.213;80;4760;120;6255149;;;;10127;766;1;1;0;0;0
141.101.123.116;141.101.123.116;80;4760;140;6255149;;;;10095;749;1;1;0;0;0
188.114.96.72;188.114.96.72;80;4760;120;2759794;NL;Netherlands;Amsterdam;9944;824;1;1;0;0;0
172.67.153.171;172.67.153.171;80;4760;160;6252001;US;United States;;8798;816;1;1;0;0;0
66.235.200.56;66.235.200.56;80;4760;140;6252001;US;United States;;8567;756;1;1;0;0;0
172.67.216.77;172.67.216.77;80;4760;160;6252001;US;United States;;8026;820;1;1;0;0;0
172.67.169.164;172.67.169.164;80;4760;140;6252001;US;United States;;4649;766;1;1;0;0;0
portal.shopify.com;185.146.173.20;80;4760;120;2661886;SE;Sweden;;3747;770;1;1;0;0;0
173.245.59.175;173.245.59.175;80;4760;120;0;;;;2331;742;1;1;0;0;0
172.67.85.85;172.67.85.85;80;4760;160;0;;;;1821;723;1;1;0;0;0
172.66.43.217;172.66.43.217;80;4760;120;0;;;;141;116;1;1;0;0;0
185.146.173.205;185.146.173.205;80;4760;140;2661886;SE;Sweden;;154;99;1;1;0;0;0
172.64.52.13;172.64.52.13;80;4760;120;0;;;;174;96;1;1;0;0;0
108.162.196.25;108.162.196.25;80;4760;120;0;;;;73;50;1;1;0;0;0
172.67.167.10;172.67.167.10;80;4855;120;6252001;US;United States;;14046;865;1;1;0;0;0
172.67.167.253;172.67.167.253;80;4855;160;6252001;US;United States;;14048;852;1;1;0;0;0
172.67.152.71;172.67.152.71;80;4855;120;6252001;US;United States;;10788;826;1;1;0;0;0
172.67.70.118;172.67.70.118;80;4855;180;6252001;US;United States;;8926;758;1;1;0;0;0
173.245.59.237;173.245.59.237;80;4855;100;6252001;US;United States;;3979;720;1;1;0;0;0
kibana-devops.cakap.com;188.114.96.1;80;4855;140;0;;;;3397;777;1;1;0;0;0
172.67.197.70;172.67.197.70;80;4855;160;0;;;;147;94;1;1;0;0;0
185.162.231.64;185.162.231.64;80;4856;20;174982;AM;Armenia;;13662;971;1;1;0;0;0
64.227.131.240;64.227.131.240;1080;4865;5100;1277333;IN;India;Bengaluru;2439;1361;4;0;0;0;1
172.64.149.52;172.64.149.52;80;4873;3360;6252001;US;United States;;9335;774;1;1;0;0;0
108.162.198.88;108.162.198.88;80;4873;3360;0;;;;183;104;1;1;0;0;0
172.67.207.228;172.67.207.228;80;4874;3240;6252001;US;United States;;5951;763;1;1;0;0;0
141.101.113.124;141.101.113.124;80;4874;3240;0;;;;120;87;1;1;0;0;0
43.133.37.149;43.133.37.149;1080;4875;3280;1880252;SG;Singapore;Singapore;256;621;4;0;0;0;1
23.227.38.150;23.227.38.150;80;4877;100;6251999;CA;Canada;;13871;882;1;1;0;0;0
188.114.97.3;188.114.97.3;80;4877;140;2759794;NL;Netherlands;Amsterdam;11210;851;1;1;0;0;0
141.101.121.97;141.101.121.97;80;4877;140;6255149;;;;10105;735;1;1;0;0;0
141.101.123.88;141.101.123.88;80;4877;180;6255149;;;;10068;732;1;1;0;0;0
141.101.123.193;141.101.123.193;80;4877;140;6255149;;;;10176;716;1;1;0;0;0
